=== DIAGNÓSTICO: Logs do transformer (broken-v2) ===
transformer-1  | [transformer] starting on port 8100 version=broken-v2
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:33:16] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:33:28] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:33:40] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:33:51] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:34:02] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:34:14] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:34:25] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:34:37] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:34:48] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:35:00] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:35:11] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:35:23] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:35:34] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:35:46] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:35:57] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:36:09] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:36:20] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:36:32] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:36:43] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:36:55] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | [internal-api-mock] rejected missing=['legacy_order_id', 'legacy_customer_code', 'legacy_total_items', 'legacy_items'] payload={'order_id': 'EXT-2026-0001', 'customer_code': 'CUST-ALPHA', 'total_items': 30, 'items': [{'sku': 'MB-001', 'qty': 10}, {'sku': 'RAM-008', 'qty': 20}], 'source_contract': 'BROKEN_EXTERNAL_ORDER_V3', 'transformed_at': 1777999016.1359363, 'transformer_hostname': 'cbb6cf630bdc'}
internal-api-mock-1  | 172.25.0.3 - - [05/May/2026 16:36:56] "[31m[1mPOST /legacy/orders HTTP/1.1[0m" 422 -
